サタン,撒旦
キマイラ,奇美拉
ビャッコ,白虎
キリン,麒麟
センリ,仙狸
パピルサグ,巴皮爾薩格
ハクタク,白澤
アピス,阿匹斯
ユニコーン,独角獣
シーサー,獅爺
グリフォン,獅鷲
ケルベロス,克魯貝洛斯
ドゥン,達温
タンキ,丹龜
オルトロス,欧特魯斯
ネコマタ,猫妖
イヌガミ,犬神
カーシー,犬妖
ケットシー,猫妖精
阿修羅ケルベロス,阿修羅克魯貝洛斯
ティターニア,蒂坦倪亞
オベロン,奥伯隆
トロール,巨怪
エルフ,妖精
ケルピー,凱爾皮
ガンダルヴァ,建陀羅
ジャックランタン,杰克灯籠
ハイピクシー,高等皮克希
ジャックフロスト,杰克霜精
ピクシー,皮克希
ヴィヴィアン,薇薇安
タム・リン,塔姆莱茵
フレイミーズ,火精靈
アクアンズ,水精靈
エアロス,風精靈
アーシーズ,地精靈
マサカド,平将門
トランペッター,吹号者
マザーハーロット,巴比倫大淫婦
ペイルライダー,蒼白騎士
ヨシツネ,義經
ブラックライダー,黑騎士
レッドライダー,紅騎士
ホワイトライダー,白騎士
ジャンヌ,貞德
トキサダ,時貞
ヘルズエンジェル,地獄天使
だいそうじょう,大僧正
アリス,愛麗絲
マタドール,斗牛士
デイビット,大衛
サキミタマ,幸魂
クシミタマ,奇魂
ニギミタマ,和魂
アラミタマ,荒魂
ハヌマーン,哈奴曼
ハヤグリーヴァ,馬頭金剛
クー・フーリン,庫夫林
クラマテング,鞍馬天狗
ヴァルキリー,女武神
セタンタ,瑟坦特
クルースニク,克雷斯尼克
フロストエース,王牌霜精
トウコツ,檮兀
フェンリル,芬里爾
カトブレパス,KA托布莱巴斯
モスマン,天蛾人
ヌエ,奴延
ライジュウ,雷獣
ギュウキ,牛鬼
バイコーン,双角獣
ガルム,加姆
ヴリトラ,弗栗多
ヤマタノオロチ,八岐大蛇
ユルング,虹蛇
ナーガラジャ,那伽之王
ミズチ,蛟
ナーガ,那伽
ノズチ,野槌
リリス,莉莉絲
ニュクス,倪克斯
ジャアクフロスト,邪惡霜精
クイーンメイブ,妖精女王
ロア,羅瓦
キウン,迦温
サキュバス,女梦魔
インキュバス,男梦魔
フォーモリア,弗莫爾
リリム,莉莉姆
エンプーサ,恩浦薩
アルプ,阿爾普
バロン,巴隆
アヌビス,阿努比斯
ナラシンハ,那羅辛哈
ゲンブ,玄武
スフィンクス,斯芬克斯
ナンディ,南迪
カイチ,隗豸
マカミ,真神
リーダーピクシー,首領皮克希
サンタフロスト,聖誕霜精
獅子舞フロスト,獅子舞霜精
サンタランタン,聖誕灯籠
獅子舞ランタン,獅子舞灯籠
相棒 獅子舞フロスト,相棒 獅子舞霜精
相棒 サンタランタン,相棒 聖誕灯籠
ヴィーヴル,薇薇爾
シャドウ,黑影
ファントム,鬼魅
ブラックウーズ,黑軟泥怪
スペクター,冥魂
ブロブ,果凍怪
モウリョウ,魍魎
スライム,軟泥怪
ウィルオウィスプ,鬼火
オンギョウキ,隱形鬼
シキオウジ,式王子
ヨモツイクサ,黄泉軍
ヤクシャ,夜叉
カラステング,鴉天狗
トゥルダク,吐魯達克
モムノフ,桃生
コッパテング,木叶天狗
アズミ,安曇神
シキガミ,式神
オニ,鬼
キンキ,金鬼
スイキ,水鬼
フウキ,風鬼
クヴァンダ,鳩盤荼
ヴェータラ,毘陀羅
レギオン,惡靈軍團
ピシャーチャ,畢舍遮
ラフィン・スカル,笑面古髏
ヤカー,雅KA
コロンゾン,克倫佐
グール,食尸鬼
ガキ,餓鬼
ポルターガイスト,騷靈
クドラク,古德拉克
ウタイガイコツ,笑面古髏
コウリュウ,黄龍
アナンタ,阿難陀
ケツアルカトル,羽蛇神
セイリュウ,青龍
ガンガー,那伽
コワトリクエ,科亞特利庫埃
アザゼル,阿撒資勒
フラロウス,佛勞洛斯
アブラクサス,阿布拉克薩斯
ゴモリー,格莫瑞
オセ,欧賽
オロバス,欧若博司
ベリス,比利士
デカラビア,單KA拉比
エリゴール,埃力格
フォルネウス,佛鈕司
アンドラス,安德拉斯
ランダ,蘭達
アトロポス,阿特羅波斯
ラケシス,拉克西斯
クロト,可羅索
ダーキニー,荼吉尼
ヤクシニー,母夜叉
ヨモツシコメ,黄泉丑女
ゴルゴン,戈爾貢
ターラカ,陀羅迦
ラミア,拉弥亞
ダツエバ,奪衣婆
アチェリ,阿切莉
アルケニー,阿剌克涅
ユキジョロウ,雪女郎
アラハバキ,荒霸吐
タケミナカタ,建御名方
オオナムチ,大国主
オオクニヌシ,大国主
スクナヒコナ,少彦名
オオヤマツミ,大山津見神
イシス,伊西絲
スカディ,絲KA蒂
カーリー,迦梨
パールヴァティ,巴爾瓦蒂
アルテミス,阿提米絲
クシナダヒメ,奇稻田姫
キクリヒメ,菊理媛
イシュタル,伊絲塔
ダイアナ,戴安娜
ヴァスキ,婆蘇吉
キングー,昆古
ニーズホッグ,尼德霍格
ティホン,提豐
バジリスク,巴西利斯克
タラスク,泰拉斯奎
コカトライス,鷄蛇
ハクジョウシ,白素貞
ファフニール,法夫納
ビシャモンテン,毘沙門天
ジコクテン,持国天
コウモクテン,广目天
ゾウチョウテン,增長天
シヴァ,湿婆
インドラジット,因陀羅耆
スサノオ,素盞鳴尊
カルティケーヤ,KA爾凱蒂耶
ディオニュソス,狄俄尼索斯
セイテンタイセイ,齊天大聖
アレス,阿瑞斯
ベルゼブブ（蝿）,別西卜（蝿）
ベルゼブブ（人）,別西卜（人）
マーラ,魔羅
アーリマン,阿利曼
アスタロト,阿斯塔羅斯
アルシエル,艾歇爾
シュウ,蚩尤
ルキフグス,路基弗凱
スルト,斯爾特
アバドン,阿巴頓
ロキ,洛基
モロク,摩洛
ヘカーテ,赫KA特
キングフロスト,霜精之王
ツィツィミトル,資資米特爾
リャナンシー,拉南希
秩序破りのロキ,秩序破りの洛基
非凡なウィルオウィスプ,非凡な鬼火
非凡なオンモラキ,非凡な陰魔羅鬼
非凡なガルム,非凡な加姆
非凡なモウリョウ,非凡な魍魎
非凡なハイピクシー,非凡な高等皮克希
非凡なバイコーン,非凡な双角獣
非凡なジャックランタン,非凡な杰克灯籠
非凡なケルピー,非凡な凱爾皮
非凡なギュウキ,非凡な牛鬼
ゴトウ,五島
非凡なケライノー,非凡な克莱諾
非凡なオキュペテー,非凡な俄庫珀特
非凡なハーピー,非凡な哈比
非凡なドワーフ,非凡な矮人
非凡なスダマ,非凡な山靈
非凡なノッカー,非凡な諾克
非凡なカハク,非凡な花魄
非凡なフォーモリア,非凡な弗莫爾
非凡なエンプーサ,非凡な恩浦薩
非凡なアルプ,非凡な阿爾普
非凡なヤカー,非凡な雅KA
非凡なコロンゾン,非凡な克倫佐
非凡なグール,非凡な食尸鬼
非凡なポルターガイスト,非凡な騷靈
非凡なジャックフロスト,非凡な杰克霜精
非凡なヤクシニー,非凡な母夜叉
非凡なユニコーン,非凡な独角獣
非凡なオルトロス,非凡な欧特魯斯
非凡なマッハ,非凡な瑪哈
非凡なネコマタ,非凡な猫妖
異形のカラステング,異形の鴉天狗
異形のコッパテング,異形の木叶天狗
異形のガキ,異形の餓鬼
未熟なスライム,未熟な軟泥怪
未熟なケットシー,未熟な猫妖精
未熟なガルム,未熟な加姆
未熟なジャックフロスト,未熟な杰克霜精
未熟なカーシー,未熟な犬妖
未熟なコッパテング,未熟な木叶天狗
未熟なスダマ,未熟な山靈
未熟なバイコーン,未熟な双角獣
未熟なイヌガミ,未熟な犬神
未熟なジャックランタン,未熟な杰克灯籠
未熟なリリム,未熟な莉莉姆
未熟なプリンシパリティ,未熟な權天使
未熟なカラステング,未熟な鴉天狗
未熟なオルトロス,未熟な欧特魯斯
未熟なキリン,未熟な麒麟
異形のオンモラキ,異形の陰魔羅鬼
異形のケットシー,異形の猫妖精
異形のブラックウーズ,異形の黑軟泥怪
異形のトロール,異形の巨怪
異形のジャックフロスト,異形の杰克霜精
異形のアークエンジェル,異形の大天使
幸運のネコマタ,幸運の猫妖
非凡なアエロー,非凡な厄洛
非凡なエルフ,非凡な妖精
非凡なピシャーチャ,非凡な畢舍遮
非凡なディース,非凡な狄絲
非凡なナーガ,非凡な那伽
幸運のティターニア,幸運の蒂坦倪亞
非凡なオベロン,非凡な奥伯隆
幸運のディース,幸運の狄絲
未熟なティターニア,未熟な蒂坦倪亞
未熟なオベロン,未熟な奥伯隆
未熟なアエロー,未熟な厄洛
未熟なケライノー,未熟な克莱諾
未熟なオキュペテー,未熟な俄庫珀特
未熟なハーピー,未熟な哈比
未熟なナーガ,未熟な那伽
未熟なノズチ,未熟な野槌
異形のピシャーチャ,異形の畢舍遮
勇敢なガルム,勇敢な加姆
未熟なケルベロス,未熟な克魯貝洛斯
デバッグフロスト,調試霜精
未熟なエルフ,未熟な妖精
疾風のフリアイ,疾風の弗里亞
巨山のフリアイ,巨山の弗里亞
火炎のフリアイ,火炎の弗里亞
密林のフリアイ,密林の弗里亞
幸運のカハク,幸運の花魄
幸運のエンジェル,幸運の天使
異形のプリンシパリティ,異形の權天使
異形のタラスク,異形の泰拉斯奎
異形のドワーフ,異形の矮人
異形アークエンジェル,異形大天使
鏡のイヌガミ,鏡の犬神
熱風のジャックランタン,熱風の杰克灯籠
吹雪のジャックフロスト,吹雪の杰克霜精
嵐のピクシー,嵐の皮克希
未熟なハトホル,未熟な哈索爾
未熟なターラカ,未熟な陀羅迦
未熟なコカトライス,未熟な鷄蛇
非凡なフレイミーズ,非凡な火精靈
非凡なアクアンズ,非凡な水精靈
非凡なエアロス,非凡な風精靈
非凡なアーシーズ,非凡な地精靈
幸運のダツエバ,幸運の奪衣婆
未熟なモスマン,未熟な天蛾人
未熟なガンガー,未熟な那伽
未熟なデカラビア,未熟な單KA拉比
歓待のジャックランタン,歓待の杰克灯籠
悪戯なジャックランタン,悪戯な杰克灯籠
異形のケルベロス,異形の克魯貝洛斯
異形のオルトロス,異形の欧特魯斯
異形のフェンリル,異形の芬里爾
異形のジャックランタン,異形の杰克灯籠
異形のパワー,異形の能天使
悪夢のケルベロス,悪夢の克魯貝洛斯
悪夢のオルトロス,悪夢の欧特魯斯
悪夢のフェンリル,悪夢の芬里爾
悪夢のジャックランタン,悪夢の杰克灯籠
悪夢のジャックフロスト,悪夢の杰克霜精
悪夢のシーサー,悪夢の獅爺
悪夢のイヌガミ,悪夢の犬神
ケットシーの風船,猫妖精の風船
トロールの風船,巨怪の風船
スライムの風船,軟泥怪の風船
モムノフの風船,桃生の風船
コロンゾンの風船,克倫佐の風船
グールの風船,食尸鬼の風船
オモイカネの風船,思兼神の風船
アピスの風船,阿匹斯の風船
タラスクの風船,泰拉斯奎の風船
ケライノーの風船,克莱諾の風船
スダマの風船,山靈の風船
オベロンの風船,奥伯隆の風船
光り輝くサンタフロスト,光り輝く聖誕霜精
光り輝く獅子舞フロスト,光り輝く獅子舞霜精
未熟なミトラ,未熟な密特拉
未熟なタケミカヅチ,未熟な建御雷神
未熟なパールヴァティ,未熟な巴爾瓦蒂
未熟なロキ,未熟な洛基
未熟なカイチ,未熟な隗豸
未熟なユニコーン,未熟な独角獣
未熟なウリエル,未熟な尤利爾
未熟なスルト,未熟な斯爾特
異形のマッハ,異形の瑪哈
異形のスペクター,異形の冥魂
異形のレギオン,異形の惡靈軍團
異形のコロンゾン,異形の克倫佐
異形のグール,異形の食尸鬼
幸運のヴァルキリー,幸運の女武神
非凡なアークエンジェル,非凡な大天使
非凡なプリンシパリティ,非凡な權天使
敏捷なフェニックス,敏捷な不死鳥
敏捷なホウオウ,敏捷な鳳凰
敏捷なスレイプニル,敏捷な斯雷普尼爾
敏捷なケルベロス,敏捷な克魯貝洛斯
敏捷なフェンリル,敏捷な芬里爾
敏捷なデカラビア,敏捷な單KA拉比
未熟なドミニオン,未熟な主天使
未熟なクー・フーリン,未熟な庫夫林
未熟なジコクテン,未熟な持国天
アサシン,刺客
物好きなピクシー,物好きな皮克希
物好きなサキュバス,物好きな女梦魔
物好きなヤクシニー,物好きな母夜叉
物好きなティターニア,物好きな蒂坦倪亞
物好きなフリアイ,物好きな弗里亞
未熟なサキュバス,未熟な女梦魔
未熟なヤクシニー,未熟な母夜叉
未熟なネコマタ,未熟な猫妖
幸運のピクシー,幸運の皮克希
非凡なアメノウズメ,非凡な天鈿女命
無念無想の境地に至るカイチ,無念無想の境地に至る隗豸
物好きなサラスヴァティ,物好きな妙音天女
物好きなヨモツシコメ,物好きな黄泉丑女
負傷したケルベロス,負傷した克魯貝洛斯
歓喜のアリス,歓喜の愛麗絲
迷い込んだカハク,迷い込んだ花魄
迷子のエンジェル,迷子の天使
未熟なハクタク,未熟な白澤
異形のポルターガイスト,異形の騷靈
非凡なトゥルダク,非凡な吐魯達克
清新なアークエンジェル,清新な大天使
清新なハーピー,清新な哈比
清新なポルターガイスト,清新な騷靈
敏捷なキリン,敏捷な麒麟
敏捷なハクタク,敏捷な白澤
敏捷なユニコーン,敏捷な独角獣
敏捷なオルトロス,敏捷な欧特魯斯
敏捷なバイコーン,敏捷な双角獣
敏捷なエリゴール,敏捷な埃力格
掟破りのモムノフ,掟破りの桃生
掟破りのドワーフ,掟破りの矮人
掟破りのモスマン,掟破りの天蛾人
小悪魔リリム,小悪魔莉莉姆
未熟なシキオウジ,未熟な式王子
不明,不明
異形のキリン,異形の麒麟
異形のシャドウ,異形の黑影
異形のスライム,異形の軟泥怪
異形のモムノフ,異形の桃生
悪夢のスペクター,悪夢の冥魂
悪夢のラフィン・スカル,悪夢の笑面古髏
悪夢のキリン,悪夢の麒麟
悪夢のブラックウーズ,悪夢の黑軟泥怪
悪夢のモムノフ,悪夢の桃生
悪夢のトゥルダク,悪夢の吐魯達克
悪夢のキクリヒメ,悪夢の菊理媛
悪夢のアラハバキ,悪夢の荒霸吐
拝神,拝神
噂のハーピー,噂の哈比
流行りのケットシー,流行りの猫妖精
人気者デカラビア,人気者單KA拉比
立志のオーディン,立志の奥汀
立志のクー・フーリン,立志の庫夫林
立志のエリゴール,立志の埃力格
ジャックランタンの風船,杰克灯籠の風船
優雅なジャックランタン,優雅な杰克灯籠
クリスマスキングフロスト,聖誕霜精之王
キングフロストの風船,霜精之王の風船
光り輝くサンタランタン,光り輝く聖誕灯籠
電撃のケットシー,電撃の猫妖精
Pixie,Pixie
未熟なスカアハ,未熟な斯KA哈
未熟なトウコツ,未熟な檮兀
未熟なティホン,未熟な提豐
未熟なラファエル,未熟な拉斐爾
未熟なファントム,未熟な鬼魅
巨大パワー,巨大能天使
巨大エンジェル,巨大天使
未熟なポルターガイスト,未熟な騷靈
未熟なアラハバキ,未熟な荒霸吐
未熟なケツアルカトル,未熟な羽蛇神
未熟なヤタガラス,未熟な八咫烏
未熟な獅子舞フロスト,未熟な獅子舞霜精
暴れ馬ユニコーン,暴れ馬独角獣
暴れ馬バイコーン,暴れ馬双角獣
未熟なトート,未熟な圖特
未熟なシーサー,未熟な獅爺
未熟なオオクニヌシ,未熟な大国主
未熟なモリーアン,未熟な莫瑞甘
未熟なロア,未熟な羅瓦
未熟なオロバス,未熟な欧若博司
敏捷なカハク,敏捷な花魄
敏捷なピクシー,敏捷な皮克希
敏捷なアリス,敏捷な愛麗絲
王者のスレイプニル,王者の斯雷普尼爾
ベルゼブブ,別西卜
ハエ,蠅
異形のサイクロプス,異形の独眼巨人
異形のスレイプニル,異形の斯雷普尼爾
異形のアピス,異形の阿匹斯
異形のハヌマーン,異形の哈奴曼
異形のクラマテング,異形の鞍馬天狗
悪夢のプリンシパリティ,悪夢の權天使
悪夢のタラスク,悪夢の泰拉斯奎
悪夢のハトホル,悪夢の哈索爾
悪夢のスレイプニル,悪夢の斯雷普尼爾
悪夢のオンコット,悪夢の鴦伽陀
歓喜のジャアクフロスト,歓喜の邪惡霜精
バイク,自転車
未熟なカハク,未熟な花魄
未熟なピクシー,未熟な皮克希
未熟なアルテミス,未熟な阿提米絲
未熟なトウテツ,未熟な饕餮
未熟なサティ,未熟な薩蒂
未熟なヌエ,未熟な奴延
サイエンのビッグノズチ,科学の大野槌
未熟なクイーンメイブ,未熟な妖精女王
未熟なカーリー,未熟な迦梨
未熟なカルティケーヤ,未熟なKA爾凱蒂耶
敏捷なクー・フーリン,敏捷な庫夫林
流離いのノズチ,流離いの野槌
流離いのアルプ,流離いの阿爾普
イザールα,伊薩爾α
イザールβ,伊薩爾β
イザールγ,伊薩爾γ
飢渇するガキ,飢渇する餓鬼
激高のガイアーズ,激高の盖厄斯
異形のナーガラジャ,異形の那伽之王
異形のミズチ,異形の蛟
巨大童金魚,巨大童金魚
童出目金,童出目金
童金魚,童金魚
赤悪魔金魚,赤悪魔金魚
黒悪魔金魚,黒悪魔金魚
白悪魔金魚,白悪魔金魚
黄金悪魔金魚,黄金悪魔金魚
非凡なケツアルカトル,非凡な羽蛇神
非凡なフェンリル,非凡な芬里爾
非凡なナーガラジャ,非凡な那伽之王
非凡なリリム,非凡な莉莉姆
非凡なオニ,非凡な鬼
兆しを顕すブロブ,兆しを顕す果凍怪
兆しを顕すモウリョウ,兆しを顕す魍魎
兆しを顕すスライム,兆しを顕す軟泥怪
兆しを顕すウィルオウィスプ,兆しを顕す鬼火
兆しを顕すハクタク,兆しを顕す白澤
応身 オンモラキ,応身 陰魔羅鬼
応身 エンジェル,応身 天使
応身 コダマ,応身 木靈
応身 ジャックフロスト,応身 杰克霜精
応身 バイコーン,応身 双角獣
応身 ノズチ,応身 野槌
応身 スライム,応身 軟泥怪
応身 オニ,応身 鬼
応身 キクリヒメ,応身 菊理媛
死兆七星ホクトセイクン,死兆七星北斗星君
夢見るピクシー,夢見る皮克希
風花のドミニオン,風花の主天使
迷子のジャックフロスト,迷子の杰克霜精
憤怒のタケミカヅチ,憤怒の建御雷神
怒りのタケミカヅチ,怒りの建御雷神
異形のバフォメット,異形の巴風特
異形のモスマン,異形の天蛾人
異形のヌエ,異形の奴延
応身　アリス,応身　愛麗絲
敏捷なニーズホッグ,敏捷な尼德霍格
敏捷なチン,敏捷な鴆
電撃のユニコーン,電撃の独角獣
電撃のティターニア,電撃の蒂坦倪亞
荒ぶる情欲　バフォメット,荒ぶる情欲　巴風特
荒ぶる情欲　サティ,荒ぶる情欲　薩蒂
荒ぶる情欲　モリーアン,荒ぶる情欲　莫瑞甘
荒ぶる情欲　センリ,荒ぶる情欲　仙狸
荒ぶる情欲　リリス,荒ぶる情欲　莉莉絲
荒ぶる情欲　サキュバス,荒ぶる情欲　女梦魔
荒ぶる情欲　アラハバキ,荒ぶる情欲　荒霸吐
荒ぶる情欲　パールヴァティ,荒ぶる情欲　巴爾瓦蒂
荒ぶる情欲　ヘカーテ,荒ぶる情欲　赫KA特
永遠の伴侶　オーディン,永遠の伴侶　奥汀
永遠の伴侶　ドミニオン,永遠の伴侶　主天使
永遠の伴侶　ラクシャーサ,永遠の伴侶　羅刹
永遠の伴侶　オベロン,永遠の伴侶　奥伯隆
永遠の伴侶　クー・フーリン,永遠の伴侶　庫夫林
永遠の伴侶　モスマン,永遠の伴侶　天蛾人
永遠の伴侶　オオクニヌシ,永遠の伴侶　大国主
永遠の伴侶　エリゴール,永遠の伴侶　埃力格
永遠の伴侶　ロキ,永遠の伴侶　洛基
アスタロト・アバター,阿斯塔羅斯・化身
アスタロト・ヴィジョン,阿斯塔羅斯・愿景
サキュバス・アミナ,女梦魔・可靠
インキュバス・アミナ,男梦魔・可靠
ケルベロス・イスキオス,克魯貝洛斯・陰影
ドゥン・イスキオス,達温・陰影
オルトロス・イスキオス,欧特魯斯・陰影
フェンリル・イスキオス,芬里爾・陰影
サキュバス・プロクス,女梦魔・波呂克斯
インキュバス・プロクス,男梦魔・波呂克斯
サキュバス・クリュスタロス,女梦魔・冰晶礦
インキュバス・クリュスタロス,男梦魔・冰晶礦
サキュバス・ブロンテ,女梦魔・勃朗特
インキュバス・ブロンテ,男梦魔・勃朗特
サキュバス・アネモス,女梦魔・阿奈摩斯
インキュバス・アネモス,男梦魔・阿奈摩斯
エンプーサ・イスキオス,恩浦薩・陰影
アルプ・イスキオス,阿爾普・陰影
インキュバス・エンポディオ,男梦魔・恩波迪奥
サキュバス・エンポディオ,女梦魔・恩波迪奥
死蝿,死蝿
マーラ？,魔羅？
水難を呼ぶもの　イソラ,水難を呼ぶもの　磯良
水難を呼ぶもの　アプサラス,水難を呼ぶもの　飛天
水難を呼ぶもの　タンキ,水難を呼ぶもの　丹龜
水難を呼ぶもの　ケルピー,水難を呼ぶもの　凱爾皮
水難を呼ぶもの　ミズチ,水難を呼ぶもの　蛟
水難を呼ぶもの　アズミ,水難を呼ぶもの　安曇神
水難を呼ぶもの　ガンガー,水難を呼ぶもの　那伽
水難を呼ぶもの　フォルネウス,水難を呼ぶもの　佛鈕司
非凡なイソラ,非凡な磯良
非凡なミズチ,非凡な蛟
非凡なフォルネウス,非凡な佛鈕司
非凡なコカトライス,非凡な鷄蛇
パンクス,朋克族
パンクス・カワード,朋克族・臆病者
パンクスリーダー,朋克族首領
ソロネ・アミナ,座天使・可靠
ドミニオン・アミナ,主天使・可靠
ヴァーチャー・アミナ,力天使・可靠
パワー・イスキオス,能天使・陰影
プリンシパリティ・イスキオス,權天使・陰影
アークエンジェル・イスキオス,大天使・陰影
エンジェル・イスキオス,天使・陰影
オーディン・ヴィジョン,奥汀・愿景
トール・ヴィジョン,托爾・愿景
フレイア・エンポディオ,芙蕾雅・恩波迪奥
ディース・エンポディオ,狄絲・恩波迪奥
ヴァルキリー・エンポディオ,女武神・恩波迪奥
パワー・エンポディオ,能天使・恩波迪奥
ドミニオン・エンポディオ,主天使・恩波迪奥
メタトロン・アバター,梅塔特隆・化身
Ｎｏ．８,Ｎｏ．８
Ｎｏ．１０,Ｎｏ．１０
Ｎｏ．１２,Ｎｏ．１２
Ｎｏ．１９,Ｎｏ．１９
Ｎｏ．１８,Ｎｏ．１８
Ｎｏ．１４,Ｎｏ．１４
Ｎｏ．５,Ｎｏ．５
Ｎｏ．７,Ｎｏ．７
Ｎｏ．１３,Ｎｏ．１３
Ｎｏ．６,Ｎｏ．６
Ｎｏ．９,Ｎｏ．９
Ｎｏ．１１,Ｎｏ．１１
Ｎｏ．１６,Ｎｏ．１６
Ｎｏ．２０,Ｎｏ．２０
Ｎｏ．２２,Ｎｏ．２２
Ｎｏ．１５,Ｎｏ．１５
Ｎｏ．１７,Ｎｏ．１７
Ｎｏ．２１,Ｎｏ．２１
Ｎｏ．２４,Ｎｏ．２４
Ｎｏ．２６,Ｎｏ．２６
Ｎｏ．２９,Ｎｏ．２９
Ｎｏ．２５,Ｎｏ．２５
Ｎｏ．２８,Ｎｏ．２８
Ｎｏ．３１,Ｎｏ．３１
Ｎｏ．２３,Ｎｏ．２３
Ｎｏ．２７,Ｎｏ．２７
Ｎｏ．３０,Ｎｏ．３０
Ｎｏ．３２,Ｎｏ．３２
戦争をもたらす者　ベリス,戦争使者　比利士
平和をもたらす者　フォルネウス,和平使者　佛鈕司
翼のある使者　アンドラス,有翼使者　安德拉斯
快楽をもたらす者　オロバス,快楽使者　欧若博司
老いをもたらす者　エリゴール,老使者　埃力格
魔術師　デカラビア,魔術師　單KA拉比
神秘主義者　オセ,神秘主義者　欧賽
強欲なるスルト,強欲なる斯爾特
憤怒のウリエル,憤怒の尤利爾
怠惰なるモト,怠惰なる莫特
暴食のマタドール,暴食の斗牛士
嫉妬深きヘルズエンジェル,嫉妬深き地獄天使
傲慢なるジャアクフロスト,傲慢なる邪惡霜精
色欲アリス,色欲愛麗絲
クライシス,危機
ナイトメア,悪梦
ヴォイド,虚空
非凡なチン,非凡な鴆
煌くオキュペテー,煌く俄庫珀特
煌くケライノー,煌く克莱諾
煌くアエロー,煌く厄洛
水晶のイヌガミ,水晶の犬神
疾風のハーピー,疾風の哈比
火炎のオンモラキ,火炎の陰魔羅鬼
密林のチン,密林の鴆
雷霆のフリアイ,雷霆の弗里亞
密林のオキュペテー,密林の俄庫珀特
火炎のケライノー,火炎の克莱諾
疾風のアエロー,疾風の厄洛
巨山のドワーフ,巨山の矮人
巨山のブッカブー,巨山の布KA卜
煌くフリアイ,煌く弗里亞
Ｉ．Ｃ．Ｂ．Ｍ．スダマ,Ｉ．Ｃ．Ｂ．Ｍ．山靈
巨山のティターン,巨山の泰坦
潜影のカマソッソ,潜影のKA瑪索茨
万華鏡のイヌガミ,万華鏡の犬神
悪夢のドワーフ,悪夢の矮人
悪夢のオンモラキ,悪夢の陰魔羅鬼
悪夢のウベルリ,悪夢の優派爾烏里
悪夢のカハク,悪夢の花魄
悪夢のチン,悪夢の鴆
悪夢のバイブ・カハ,悪夢の芭一波・KA赫
